1899 2055
1100 1432 1590
1102 1126 1234
1104 1127 1253
1104 1293 1839
1108 1477 1672
1109 1188 1809
1111 1420 1840
1113 1164 1698
1113 1206 1653
1114 1383 1857
1115 1331 1534
1116 1315 1461
1118 1354 1889
1121 1567 1680
1122 1475 1565
1126 1428 1885
1130 1324 1424
1131 1421 1805
1132 1577 1675
1136 1249 1829
1140 1243 1631
1142 1222 1842
1142 1458 1598
1144 1146 1368
1144 1442 1604
1145 1185 1387
1146 1671 1787
1150 1262 1325
1153 1410 1617
1155 1182 1391
1155 1809 1895
1156 1341 1740
1157 1557 1596
1165 1487 1819
1169 1498 1861
1178 1263 1533
1178 1404 1692
1179 1216 1348
1183 1543 1855
1184 1412 1563
1186 1311 1444
1187 1447 1737
1189 1279 1556
1190 1484 1654
1193 1544 1728
1195 1268 1380
1195 1690 1843
1202 1213 1223
1202 1252 1499
1204 1287 1683
1210 1753 1841
1216 1417 1703
1217 1275 1378
1217 1394 1750
1218 1336 1789
1223 1524 1799
1227 1666 1708
1228 1283 1822
1233 1410 1758
1234 1394 1822
1242 1524 1886
1243 1581 1798
1245 1434 1857
1251 1719 1741
1252 1637 1780
1254 1582 1639
1255 1280 1665
1258 1353 1427
1265 1309 1882
1265 1380 1691
1273 1520 1864
1276 1314 1515
1280 1457 1554
1282 1353 1553
1282 1678 1694
1287 1681 1705
1292 1315 1878
1295 1609 1757
1300 1487 1721
1302 1391 1487
1305 1607 1658
1319 1387 1521
1321 1333 1348
1323 1428 1709
1324 1548 1718
1324 1638 1849
1326 1466 1621
1327 1796 1831
1330 1346 1368
1330 1396 1491
1332 1618 1829
1333 1360 1578
1334 1574 1736
1338 1378 1567
1354 1558 1812
1355 1443 1874
1357 1384 1823
1372 1530 1727
1373 1749 1841
1376 1445 1452
1376 1555 1738
1383 1387 1711
1395 1755 1806
1397 1398 1831
1397 1419 1764
1404 1449 1568
1407 1766 1795
1408 1456 1545
1409 1417 1623
1420 1691 1701
1421 1638 1743
1428 1697 1819
1435 1831 1845
1436 1478 1527
1439 1510 1538
1440 1558 1749
1440 1561 1894
1444 1791 1797
1459 1510 1747
1463 1525 1577
1467 1713 1789
1474 1686 1721
1478 1639 1747
1483 1677 1832
1488 1599 1813
1490 1651 1873
1496 1617 1704
1498 1513 1592
1500 1588 1707
1506 1674 1814
1509 1720 1891
1526 1643 1847
1531 1532 1807
1533 1535 1799
1566 1873 1888
1593 1652 1653
1611 1634 1772
1633 1808 1824
1634 1691 1891
1642 1778 1804
1655 1659 1690
1684 1828 1844
